Nose X,Nose Y,Nose Z,Left Shoulder X,Left Shoulder Y,Left Shoulder Z,Right Shoulder Z,Label
208.8985825,-187.5267506,-547.1232176,375.7245255,7.058458328,-148.510716,-251.8412089,good
239.6508026,-179.1402555,-905.5473232,409.4139099,-3.910832405,-394.6774864,-470.7031345,good
202.4864578,-171.5814257,-585.6417561,363.3576584,0.53047657,-157.3294008,-251.0427046,good
203.649559,-212.4624109,-645.3018093,381.3342667,8.037829399,-210.4801941,-259.4861269,good
205.1784897,-205.8657217,-662.0194387,383.8590622,7.43074894,-221.6254163,-267.2666788,good
212.5388336,-181.8550801,-858.1581402,398.9394379,-1.101593971,-359.3318939,-397.8100061,good
180.9292221,-183.5386276,-558.088088,368.993187,1.028079987,-137.8540528,-204.8773813,good
162.400322,-172.1469426,-577.7501822,320.7968521,8.192238808,-154.4856477,-168.6112118,good
163.4662628,-174.19276,-571.2043476,327.7198029,7.810120583,-142.125138,-155.9285045,good
163.9125061,-169.1474605,-576.2110662,333.184433,2.513809204,-151.4256442,-164.6071243,good
164.5562744,-180.750289,-536.558404,337.8714752,6.217617989,-117.4920309,-176.603272,good
177.3239517,-192.6389766,-552.8034496,359.8323441,0.714068413,-139.5863843,-193.6076832,good
156.3444519,-195.0758386,-406.0678196,325.8083344,-17.4872303,-53.534832,-96.54667139,good
157.9283142,-202.70859,-356.6994023,341.5488434,-24.01199341,-63.51158738,-107.8294587,good
136.2643433,-204.8427272,-426.0306215,287.8096008,-14.45787907,-75.18574119,-130.757668,good
150.9127426,-207.3777366,-456.6528225,320.5217361,-18.45278263,-90.79715252,-145.4104364,good
138.1416321,-197.2916436,-389.1663837,300.4560089,-9.383397102,-21.40492648,-124.8294067,good
140.2325439,-213.3985019,-352.3371649,322.2861481,-15.57320595,-49.13677633,-132.4655271,good
167.9110718,-221.0858202,-464.8312855,357.1704865,-12.45145798,-155.4585814,-191.4623022,good
173.8284683,-249.5052409,-447.0544195,370.3110886,-2.893438339,-184.0267897,-187.3451757,good
156.9630432,-218.6935687,-449.8464918,329.5755005,-6.079773903,-135.1138973,-175.109936,good
151.2534714,-219.005971,-566.2029934,359.8175049,-6.325078011,-216.9362283,-249.7447729,good
165.5928421,-198.6509657,-659.0418005,392.1983719,-3.062696457,-269.7774839,-273.8146162,good
167.5093079,-242.717514,-534.8703718,356.1377716,-0.552020073,-183.5200667,-243.9079428,good
171.0742188,-241.1597943,-507.0988655,356.6776276,2.696800232,-180.0500607,-240.2004004,good
170.5969238,-235.630517,-491.6960335,362.1340179,4.886169434,-171.9550252,-208.3246422,good
167.8274536,-230.6376815,-480.903511,358.8282776,5.609893799,-119.9737287,-193.2264662,good
171.2157059,-241.740557,-495.1699448,362.6715851,6.470861435,-133.3767056,-193.4048653,good
203.1278992,-264.6605802,-542.0207977,429.7413635,0.855131149,-200.3567004,-218.5447168,good
180.9673691,-232.861973,-505.4193306,371.2784958,3.656430244,-94.37387824,-212.8338861,good
223.4123611,-222.3942447,-590.0201511,412.5883865,-20.75733662,-248.5632706,-272.2341514,good
249.1534424,-229.23347,-564.9810648,478.5919189,-14.6942997,-245.1715851,-262.6772261,good
243.8423538,-193.08285,-470.1373386,416.3199997,-7.763986588,-112.6264393,-191.3938737,good
262.1976089,-174.9543142,-667.3875904,492.7022171,-7.725963593,-320.2482677,-339.114368,good
247.1501923,-218.8719249,-617.4530125,472.7883148,-9.493732452,-268.3337688,-330.2077603,good
230.416069,-204.5360327,-660.4985189,447.285347,-11.44080162,-255.7209492,-290.921874,good
228.1746674,-215.2093577,-667.4424362,447.927475,-8.760566711,-267.0867777,-293.3104777,good
227.6513672,-210.3959513,-679.8617935,450.7698059,-7.037901878,-264.233315,-284.6861887,good
227.201004,-175.1961207,-1080.651369,480.0345612,-5.281677246,-595.5564022,-515.7462215,good
244.4303894,-188.0999064,-1049.397669,504.363327,-5.556077957,-547.2679281,-528.7080717,good
213.3143234,-179.3660331,-624.5592785,400.5039597,1.879262924,-120.6929469,-196.9621611,good
214.1729355,-184.1715431,-599.1915035,404.4369125,1.389598846,-134.2836142,-190.2374125,good
197.4397278,-174.0269136,-541.6973019,399.2763519,10.24333477,-106.1018372,-202.3678851,good
204.2017365,-200.8282971,-474.0124226,460.2398682,12.66088486,-169.8206735,-188.5738206,good
193.3594894,-202.2790074,-396.4112234,393.661232,8.204255104,-92.28616476,-164.7664905,good
188.569603,-193.7685728,-465.6437588,397.8589249,8.466210365,-110.235765,-165.2273691,good
197.789917,-200.7098508,-650.6490612,418.3961487,8.6825037,-257.841053,-312.2261882,good
206.8432617,-208.5076976,-551.3501215,442.2790527,1.372647285,-243.6406446,-292.0318151,good
186.0532761,-194.0593243,-407.7304888,414.8905945,0.04553318,-63.31433773,-64.77445722,good
208.6771774,-179.6167231,-623.332243,418.376503,-3.207921982,-210.5693936,-126.3763762,good
215.7540894,-189.1346598,-505.4228067,392.6438141,-2.607450485,-85.08185863,-114.6191382,good
213.5519028,-186.839354,-528.8990021,395.7152939,-3.237876892,-116.825856,-153.2025433,good
211.2188339,-191.6708279,-538.0615139,403.4701157,-3.391942978,-124.4130313,-107.235446,good
207.988472,-184.5339203,-519.0707016,392.5610733,0.860409737,-109.562037,-99.95691776,good
196.125412,-185.8844662,-479.5957088,387.9563141,0.885558128,-101.2831092,-108.8832879,good
219.6875381,-183.2892895,-712.4783993,430.9692764,0.083127022,-258.827076,-218.1212926,good
192.1998596,-186.5061378,-432.1094942,378.1439209,-1.155238152,-104.9408805,-83.59228313,good
192.9072189,-175.7170486,-465.0564623,378.2929611,-2.22597599,-104.101671,-97.29854822,good
190.7240677,-166.844666,-502.21982,376.9222641,-1.08206749,-110.0910115,-102.0378613,good
167.0698547,-172.9721403,-339.9250603,344.7325897,9.924387932,-58.15017879,-36.95862204,good
172.617836,-174.9780679,-431.5802193,355.8187485,6.93842411,-72.27903664,-65.12533307,good
219.9311447,-219.105041,-572.7746201,454.4617844,-1.954236031,-189.0796852,-194.5425725,good
188.2444382,-209.2294693,-353.9097333,356.1013412,-1.720433235,-22.08145738,-25.10303557,good
193.2535934,-216.4748025,-400.8201742,372.3216629,-0.003218651,-60.13080239,-55.77061951,good
194.5217133,-171.123755,-497.5769806,375.8365631,0.331907272,-62.72375822,-82.68110454,good
221.6388321,-171.9634366,-592.677598,407.3073196,-6.077756882,-169.1862452,-95.32255411,good
192.0428467,-192.836709,-335.9130335,404.1416931,-11.62134647,-76.41877949,-22.00327367,good
183.571434,-191.8582177,-357.3242068,404.3764114,-12.45828152,-64.13346827,9.441427365,good
162.8757477,-171.3851738,-375.3082037,344.7080231,-17.68588543,-36.1853385,8.86258319,good
173.2439804,-196.3829327,-571.9685411,369.6862793,-16.10651493,-122.7250421,-142.6108325,good
174.717598,-234.2083025,-515.5176544,380.9684372,-1.645975113,-77.95557797,-90.47336698,good
178.2785797,-221.0003972,-586.7371273,385.3326035,-2.406992912,-117.3084819,-108.7784886,good
192.5365067,-238.0407071,-627.0565653,416.5347672,17.48147964,-202.1526003,-264.833529,good
183.4253311,-198.2921076,-605.7993078,409.9382401,20.79591751,-178.4981668,-220.1122212,good
191.1808014,-266.1887741,-500.7429743,423.250885,28.01376343,-163.3509386,-237.6472592,good
183.156395,-198.811748,-595.4436636,415.1465225,15.21567822,-168.534683,-230.4181695,good
167.2768784,-171.3618064,-543.2838392,359.1380692,18.19760799,-69.41841245,-222.856636,good
175.2487946,-230.028348,-396.5858889,373.6268616,21.19674683,-84.45209205,-203.9606667,good
184.0930939,-233.4732699,-419.2636013,401.4573669,14.34659958,-101.2253559,-201.4659762,good
192.7630997,-204.9601436,-613.3517218,414.4768143,8.910212517,-198.2802844,-277.4083257,good
