Nose X,Nose Y,Nose Z,Left Shoulder X,Left Shoulder Y,Left Shoulder Z,Right Shoulder X,Right Shoulder Y,Right Shoulder Z,Label
629.4497680664062,287.50394582748413,-433.36373805999756,804.0882110595703,473.73737812042236,-177.69990921020508,483.49056243896484,482.5853633880615,-174.75903868675232,good
703.3231353759766,287.5495648384094,-363.5982370376587,879.2823028564453,479.8121738433838,-168.61419439315796,528.7790679931641,483.5458517074585,-141.75215005874634,good
656.7105865478516,202.5451898574829,-441.11579418182373,867.9037475585938,429.67756748199463,-206.22251987457275,464.4574737548828,429.08434867858887,-195.04281520843506,good
736.96533203125,278.17578077316284,-723.1391716003418,911.5534973144531,470.187292098999,-381.31399154663086,519.3691253662109,462.9663562774658,-415.9457302093506,good
664.0943145751953,245.10944366455078,-588.5984516143799,900.5513000488281,461.92853450775146,-284.28945779800415,472.78820037841797,459.9911642074585,-292.91531324386597,good
698.7648010253906,268.351686000824,-703.5650110244751,929.1033172607422,479.5012092590332,-411.4447259902954,472.5035095214844,483.0207824707031,-381.0392475128174,good
696.3632965087891,284.37206983566284,-602.7036952972412,911.4746856689453,500.46677112579346,-321.0586166381836,473.7403106689453,507.64878273010254,-309.16385650634766,good
695.8060455322266,272.2000980377197,-573.550443649292,899.1448211669922,498.54660987854004,-305.24935483932495,473.37154388427734,504.8083448410034,-290.0265312194824,good
695.2188873291016,267.0447635650635,-468.7083864212036,893.5262298583984,498.68024826049805,-202.00351238250732,472.51556396484375,502.72926807403564,-240.98504304885864,good
694.2901611328125,269.6133327484131,-425.91822624206543,882.8248596191406,493.6728000640869,-102.93990969657898,472.9365921020508,495.81753730773926,-129.90774035453796,good
687.0654296875,270.85182666778564,-484.60049629211426,870.43212890625,486.56906604766846,-162.8430676460266,471.3148880004883,491.3859701156616,-170.92089414596558,good
686.6758728027344,274.36049938201904,-487.6879549026489,868.4876251220703,482.1851348876953,-133.50952863693237,471.6838836669922,487.15919494628906,-173.76737236976624,good
707.2600555419922,270.35799980163574,-352.9555320739746,881.4382934570312,465.50557136535645,-109.88265752792358,524.3947601318359,466.9332790374756,-144.21767950057983,good
707.3515319824219,241.96550846099854,-380.7309865951538,885.5318450927734,449.5761251449585,-107.476726770401,526.9216918945312,453.4226703643799,-156.9759178161621,good
705.279541015625,245.48688411712646,-609.7211694717407,894.6316528320312,459.18877601623535,-217.4722194671631,513.5748291015625,453.9628028869629,-285.2837634086609,good
653.0718994140625,247.59486436843872,-550.9713077545166,877.4424743652344,451.8140745162964,-158.33678483963013,479.75406646728516,456.36348724365234,-157.85484552383423,good
632.740364074707,245.195209980011,-579.2770671844482,845.9491729736328,432.6970052719116,-194.65067625045776,437.6509475708008,429.5331144332886,-231.3386607170105,good
