Nose X,Nose Y,Nose Z,Left Shoulder X,Left Shoulder Y,Left Shoulder Z,Right Shoulder Z,Left Eye X,Left Eye Y,Left Eye Z,Right Eye X,Right Eye Y,Right Eye Z,Left Lip X,Left Lip Y,Left Lip Z,Right Lip X,Right Lip Y,Right Lip Z,Label
208.8985825,-187.5267506,-547.1232176,375.7245255,7.058458328,-148.510716,-251.8412089,246.7452621,-222.718792,-514.7807121,158.3652115,-224.5335317,-525.20751,231.5250015,-141.7043638,-467.2505093,165.6877518,-143.8341236,-479.2305851,bad
304.1433334,-128.2417345,-896.0048389,419.1930771,65.46941757,-378.7681675,-453.0741119,246.7452621,-222.718792,-514.7807121,158.3652115,-224.5335317,-525.20751,231.5250015,-141.7043638,-467.2505093,165.6877518,-143.8341236,-479.2305851,bad
92.7684021,-224.1630006,-606.1578655,338.9043808,-150.7400608,-141.0491538,-391.6174936,246.7452621,-222.718792,-514.7807121,158.3652115,-224.5335317,-525.20751,231.5250015,-141.7043638,-467.2505093,165.6877518,-143.8341236,-479.2305851,bad
277.2114944,-48.4815073,-563.3353901,343.0649185,87.42516518,-86.14668489,-231.3921762,246.7452621,-222.718792,-514.7807121,158.3652115,-224.5335317,-525.20751,231.5250015,-141.7043638,-467.2505093,165.6877518,-143.8341236,-479.2305851,bad
258.5749817,-130.2416325,-478.2040071,354.8323059,53.77914906,-107.0942652,-202.5898647,246.7452621,-222.718792,-514.7807121,158.3652115,-224.5335317,-525.20751,231.5250015,-141.7043638,-467.2505093,165.6877518,-143.8341236,-479.2305851,bad
48.21540833,-251.1303592,-643.5821056,293.5831451,-173.1567407,-110.4268026,-304.0544629,246.7452621,-222.718792,-514.7807121,158.3652115,-224.5335317,-525.20751,231.5250015,-141.7043638,-467.2505093,165.6877518,-143.8341236,-479.2305851,bad
61.96960449,-212.4956703,-394.2348576,337.9833221,-138.6259174,-123.6814642,-103.7726498,127.8836823,-250.6099248,-373.3976126,63.41438293,-233.5877252,-366.387434,115.8078003,-180.328517,-333.4967494,70.70907593,-164.1369224,-322.5683141,bad
184.2031479,-122.9418612,-486.0802603,304.9522018,35.29490948,-119.499321,-183.8519526,127.8836823,-250.6099248,-373.3976126,63.41438293,-233.5877252,-366.387434,115.8078003,-180.328517,-333.4967494,70.70907593,-164.1369224,-322.5683141,bad
15.5197525,-266.6370785,-398.9185095,257.0805359,-191.1207819,-125.5424988,-117.5455892,127.8836823,-250.6099248,-373.3976126,63.41438293,-233.5877252,-366.387434,115.8078003,-180.328517,-333.4967494,70.70907593,-164.1369224,-322.5683141,bad
59.62146759,-271.6575408,-317.6430058,288.3173752,-139.518621,-128.369354,-56.96231425,127.8836823,-250.6099248,-373.3976126,63.41438293,-233.5877252,-366.387434,115.8078003,-180.328517,-333.4967494,70.70907593,-164.1369224,-322.5683141,bad
225.6317139,-170.0216246,-383.6718464,359.7071075,32.17075825,-87.27981091,-127.6969671,127.8836823,-250.6099248,-373.3976126,63.41438293,-233.5877252,-366.387434,115.8078003,-180.328517,-333.4967494,70.70907593,-164.1369224,-322.5683141,bad
202.8587723,-170.7693172,-373.343668,346.5375137,31.89863205,-78.68908703,-148.3399773,127.8836823,-250.6099248,-373.3976126,63.41438293,-233.5877252,-366.387434,115.8078003,-180.328517,-333.4967494,70.70907593,-164.1369224,-322.5683141,bad
155.7000732,-163.4122109,-377.8988314,309.7025299,28.63358974,1.734066065,-118.4837508,189.5631409,-192.2320104,-343.1486893,119.7161102,-197.2276998,-350.5014181,178.9021301,-120.9508896,-299.2879415,126.6745758,-123.4155178,-308.5708308,bad
124.0616226,-241.7816806,-402.1866417,328.9332199,-78.60516071,-92.09882855,-106.0598552,189.5631409,-192.2320104,-343.1486893,119.7161102,-197.2276998,-350.5014181,178.9021301,-120.9508896,-299.2879415,126.6745758,-123.4155178,-308.5708308,bad
53.95828247,-235.93557,-381.5800667,299.4864655,-144.462018,-121.5043688,-109.1319287,189.5631409,-192.2320104,-343.1486893,119.7161102,-197.2276998,-350.5014181,178.9021301,-120.9508896,-299.2879415,126.6745758,-123.4155178,-308.5708308,bad
66.66339874,-253.1098402,-276.6655898,302.3368454,-144.7752142,-104.872731,-75.03961444,189.5631409,-192.2320104,-343.1486893,119.7161102,-197.2276998,-350.5014181,178.9021301,-120.9508896,-299.2879415,126.6745758,-123.4155178,-308.5708308,bad
75.76774597,-211.0095549,-287.1054125,307.0999146,-54.4636488,-59.23674166,-76.26255691,189.5631409,-192.2320104,-343.1486893,119.7161102,-197.2276998,-350.5014181,178.9021301,-120.9508896,-299.2879415,126.6745758,-123.4155178,-308.5708308,bad
57.91984558,-245.8527589,-298.0553055,270.6006622,-148.6931062,-72.88893342,-87.32322514,189.5631409,-192.2320104,-343.1486893,119.7161102,-197.2276998,-350.5014181,178.9021301,-120.9508896,-299.2879415,126.6745758,-123.4155178,-308.5708308,bad
183.4407806,-229.9669039,-371.5334988,381.0422516,7.628588676,-86.93767905,-162.0087504,225.470314,-273.5113227,-330.7877398,126.7139816,-275.6288302,-348.4407306,219.3894577,-182.9585838,-305.3090715,150.5595016,-168.0515528,-327.6785231,bad
261.4271927,-91.79523468,-415.9294224,297.2555923,111.2977695,-51.98204219,-233.9746714,225.470314,-273.5113227,-330.7877398,126.7139816,-275.6288302,-348.4407306,219.3894577,-182.9585838,-305.3090715,150.5595016,-168.0515528,-327.6785231,bad
268.012619,-187.20186,-404.7775698,360.2800751,26.40671253,-139.7467804,-206.3434982,225.470314,-273.5113227,-330.7877398,126.7139816,-275.6288302,-348.4407306,219.3894577,-182.9585838,-305.3090715,150.5595016,-168.0515528,-327.6785231,bad
60.67691803,-319.7727656,-548.9019728,345.4133987,-192.3376036,-303.0608439,-196.5071726,225.470314,-273.5113227,-330.7877398,126.7139816,-275.6288302,-348.4407306,219.3894577,-182.9585838,-305.3090715,150.5595016,-168.0515528,-327.6785231,bad
99.98855591,-279.7695923,-503.8142538,344.1374969,-126.2587881,-208.2804823,-196.0551667,225.470314,-273.5113227,-330.7877398,126.7139816,-275.6288302,-348.4407306,219.3894577,-182.9585838,-305.3090715,150.5595016,-168.0515528,-327.6785231,bad
220.6451416,-206.7712998,-456.7520428,327.3884583,43.43127251,-82.07244694,-224.9287391,225.470314,-273.5113227,-330.7877398,126.7139816,-275.6288302,-348.4407306,219.3894577,-182.9585838,-305.3090715,150.5595016,-168.0515528,-327.6785231,bad
195.61409,-222.6191211,-409.0121984,368.7355804,26.55910492,-88.22425961,-187.0277309,238.9376068,-256.4146435,-372.9068756,151.8398666,-269.5897615,-389.0351486,223.2849884,-170.8979988,-342.1230769,163.6023331,-175.5377483,-363.9077854,bad
185.0060272,-227.6666951,-411.2342262,432.1913528,20.13635159,-170.3792381,-185.130229,238.9376068,-256.4146435,-372.9068756,151.8398666,-269.5897615,-389.0351486,223.2849884,-170.8979988,-342.1230769,163.6023331,-175.5377483,-363.9077854,bad
35.84495544,-239.0256143,-471.2125826,278.337326,-122.2634983,-157.8494704,-200.6373239,238.9376068,-256.4146435,-372.9068756,151.8398666,-269.5897615,-389.0351486,223.2849884,-170.8979988,-342.1230769,163.6023331,-175.5377483,-363.9077854,bad
92.6599884,-230.7828212,-358.8763475,318.338356,-96.3646245,-115.1629615,-155.3747678,238.9376068,-256.4146435,-372.9068756,151.8398666,-269.5897615,-389.0351486,223.2849884,-170.8979988,-342.1230769,163.6023331,-175.5377483,-363.9077854,bad
-6.215305328,-242.7475119,-500.9465218,310.8898163,-197.7285433,-178.3432961,-191.4714217,238.9376068,-256.4146435,-372.9068756,151.8398666,-269.5897615,-389.0351486,223.2849884,-170.8979988,-342.1230769,163.6023331,-175.5377483,-363.9077854,bad
53.11397552,-281.291483,-366.877656,326.9106674,-166.204133,-167.8768444,-122.2342515,238.9376068,-256.4146435,-372.9068756,151.8398666,-269.5897615,-389.0351486,223.2849884,-170.8979988,-342.1230769,163.6023331,-175.5377483,-363.9077854,bad
240.2749634,-240.2551603,-434.2105007,438.9871216,-28.56621265,-134.345144,-240.3585434,278.2562256,-284.2705321,-392.8423405,195.140686,-273.6307454,-416.0616016,268.3054352,-192.2072268,-357.6025772,209.1959763,-188.1037045,-388.7070179,bad
224.2354584,-222.5296855,-479.8792076,410.5630493,-35.1168108,-122.8562558,-229.8039222,278.2562256,-284.2705321,-392.8423405,195.140686,-273.6307454,-416.0616016,268.3054352,-192.2072268,-357.6025772,209.1959763,-188.1037045,-388.7070179,bad
316.8067932,-141.2958527,-399.7764301,388.2830048,86.85791016,-41.89324558,-212.2857714,278.2562256,-284.2705321,-392.8423405,195.140686,-273.6307454,-416.0616016,268.3054352,-192.2072268,-357.6025772,209.1959763,-188.1037045,-388.7070179,bad
318.6328506,-171.8824768,-626.5261745,467.1622086,53.3591795,-177.4258304,-290.241065,278.2562256,-284.2705321,-392.8423405,195.140686,-273.6307454,-416.0616016,268.3054352,-192.2072268,-357.6025772,209.1959763,-188.1037045,-388.7070179,bad
257.3912811,-196.6045046,-545.7821989,445.8682251,37.75447369,-142.2370934,-240.3442097,278.2562256,-284.2705321,-392.8423405,195.140686,-273.6307454,-416.0616016,268.3054352,-192.2072268,-357.6025772,209.1959763,-188.1037045,-388.7070179,bad
233.9318848,-317.2172642,-747.6249504,429.1433716,-113.4502745,-328.5903025,-328.3336687,278.2562256,-284.2705321,-392.8423405,195.140686,-273.6307454,-416.0616016,268.3054352,-192.2072268,-357.6025772,209.1959763,-188.1037045,-388.7070179,bad
232.5126266,-259.4521809,-612.4121761,448.6986923,-45.42709351,-278.2167864,-274.2677808,277.302742,-322.598269,-576.7560482,174.5301437,-311.6124773,-585.3416061,263.1242752,-203.5987616,-536.1545277,201.9413376,-199.3923497,-554.9783993,bad
377.1997452,-38.8189888,-772.8341961,411.5254593,184.3036795,-158.2998884,-392.6223135,277.302742,-322.598269,-576.7560482,174.5301437,-311.6124773,-585.3416061,263.1242752,-203.5987616,-536.1545277,201.9413376,-199.3923497,-554.9783993,bad
