Nose X,Nose Y,Nose Z,Left Shoulder X,Left Shoulder Y,Left Shoulder Z,Right Shoulder Z,Left Eye X,Left Eye Y,Left Eye Z,Right Eye X,Right Eye Y,Right Eye Z,Left Lip X,Left Lip Y,Left Lip Z,Right Lip X,Right Lip Y,Right Lip Z,Label
174.9765778,-197.4258614,-375.2571344,365.747757,6.40481472,-135.8860731,-124.680233,209.8351288,-236.8736458,-356.3341284,127.0887756,-229.9458218,-351.8220949,204.7259521,-155.5279541,-318.922677,140.2142334,-149.1285038,-310.9659576,bad
173.559494,-236.1004829,-384.2438221,395.7818604,-35.39206982,-151.5482426,-137.5528193,209.8351288,-236.8736458,-356.3341284,127.0887756,-229.9458218,-351.8220949,204.7259521,-155.5279541,-318.922677,140.2142334,-149.1285038,-310.9659576,bad
115.5216599,-235.3571892,-339.0984035,338.4276199,-67.92769432,-124.7343171,-101.0501218,209.8351288,-236.8736458,-356.3341284,127.0887756,-229.9458218,-351.8220949,204.7259521,-155.5279541,-318.922677,140.2142334,-149.1285038,-310.9659576,bad
186.206398,-163.2966185,-462.5778437,335.4495621,37.60590076,-74.19005692,-191.7211032,209.8351288,-236.8736458,-356.3341284,127.0887756,-229.9458218,-351.8220949,204.7259521,-155.5279541,-318.922677,140.2142334,-149.1285038,-310.9659576,bad
9.43107605,-267.3084676,-806.5083218,315.8911133,-184.7453856,-360.7145834,-441.3022184,209.8351288,-236.8736458,-356.3341284,127.0887756,-229.9458218,-351.8220949,204.7259521,-155.5279541,-318.922677,140.2142334,-149.1285038,-310.9659576,bad
37.32444763,-253.3475161,-766.3605881,336.1380005,-147.5527811,-386.1711931,-367.0590162,209.8351288,-236.8736458,-356.3341284,127.0887756,-229.9458218,-351.8220949,204.7259521,-155.5279541,-318.922677,140.2142334,-149.1285038,-310.9659576,bad
202.9807281,-234.8632765,-600.1713467,403.006897,-7.930283546,-269.5230603,-333.3871651,246.8201447,-275.5310154,-576.5769196,144.2550659,-263.7429857,-577.9125309,238.8761902,-178.5920763,-532.597146,167.3270416,-175.9708071,-533.8212633,bad
325.7489014,-118.5459995,-737.9744911,355.6867981,96.01115227,-285.0626421,-349.0081787,246.8201447,-275.5310154,-576.5769196,144.2550659,-263.7429857,-577.9125309,238.8761902,-178.5920763,-532.597146,167.3270416,-175.9708071,-533.8212633,bad
314.8952484,-97.42074966,-763.4209728,338.5192871,116.69034,-276.6460633,-352.9791141,246.8201447,-275.5310154,-576.5769196,144.2550659,-263.7429857,-577.9125309,238.8761902,-178.5920763,-532.597146,167.3270416,-175.9708071,-533.8212633,bad
249.33815,-252.2977638,-718.4693813,404.6847534,26.59442425,-272.8128004,-344.9300838,246.8201447,-275.5310154,-576.5769196,144.2550659,-263.7429857,-577.9125309,238.8761902,-178.5920763,-532.597146,167.3270416,-175.9708071,-533.8212633,bad
293.6453629,-240.7690072,-807.9944801,478.9101028,40.40908813,-361.6712952,-442.7861881,246.8201447,-275.5310154,-576.5769196,144.2550659,-263.7429857,-577.9125309,238.8761902,-178.5920763,-532.597146,167.3270416,-175.9708071,-533.8212633,bad
263.504715,-147.7010536,-525.1485014,448.4920502,103.247838,-90.98596931,-182.5652432,246.8201447,-275.5310154,-576.5769196,144.2550659,-263.7429857,-577.9125309,238.8761902,-178.5920763,-532.597146,167.3270416,-175.9708071,-533.8212633,bad
209.658699,-231.7642951,-376.7442369,422.2957993,-6.118955612,-62.48211801,-117.2504175,242.3946762,-272.8262115,-346.8172216,154.7008133,-266.480813,-349.733212,239.4784927,-184.5341778,-307.1943426,177.4569321,-173.5183668,-308.3568335,bad
219.9739075,-244.2634964,-493.6164951,452.3363495,5.925664902,-129.0690565,-195.3855371,242.3946762,-272.8262115,-346.8172216,154.7008133,-266.480813,-349.733212,239.4784927,-184.5341778,-307.1943426,177.4569321,-173.5183668,-308.3568335,bad
53.38356018,-255.5378079,-330.4934049,323.129425,-136.1124086,-161.335634,82.14267254,242.3946762,-272.8262115,-346.8172216,154.7008133,-266.480813,-349.733212,239.4784927,-184.5341778,-307.1943426,177.4569321,-173.5183668,-308.3568335,bad
275.5363846,-187.9163575,-632.42167,427.0189285,86.354599,-172.2713435,-260.7461858,242.3946762,-272.8262115,-346.8172216,154.7008133,-266.480813,-349.733212,239.4784927,-184.5341778,-307.1943426,177.4569321,-173.5183668,-308.3568335,bad
220.0538254,-203.008976,-588.1545782,408.6396408,53.26532364,-154.9833047,-223.6550117,242.3946762,-272.8262115,-346.8172216,154.7008133,-266.480813,-349.733212,239.4784927,-184.5341778,-307.1943426,177.4569321,-173.5183668,-308.3568335,bad
263.2964325,-118.0751324,-488.0400324,332.3336792,78.51460934,-17.34869555,-164.0329492,242.3946762,-272.8262115,-346.8172216,154.7008133,-266.480813,-349.733212,239.4784927,-184.5341778,-307.1943426,177.4569321,-173.5183668,-308.3568335,bad
239.1167831,-171.428175,-728.3128738,380.7761002,-8.971796036,-231.8495679,-298.528018,284.573555,-185.624485,-693.4685755,204.4723129,-209.0539455,-704.9501038,251.0247421,-94.36461926,-626.761694,198.5981369,-131.1436272,-641.2226629,bad
