Nose X,Nose Y,Nose Z,Left Shoulder X,Left Shoulder Y,Left Shoulder Z,Right Shoulder X,Right Shoulder Y,Right Shoulder Z,Label
195.74119567871094,15.644445419311523,-1032.2540187835693,412.4774932861328,14.72665786743164,-685.0106906890869,0,0,-617.172646522522,bad
197.99976348876953,41.721224784851074,-1031.4680671691895,423.0234146118164,102.80615329742432,-690.4574203491211,0,0,-646.3023376464844,bad
229.3075180053711,50.71671009063721,-1175.8381175994873,394.12059783935547,104.36599731445312,-690.0916957855225,0,0,-694.8058176040649,bad
209.30126190185547,-8.834424018859863,-1144.68355178833,401.1177444458008,30.59091567993164,-673.9002084732056,0,0,-629.9749374389648,bad
221.3519287109375,55.16007900238037,-935.0171184539795,383.0352020263672,106.23496055603027,-508.6003017425537,0,0,-579.1795206069946,bad
270.9062194824219,41.96481227874756,-1218.4854125976562,504.637451171875,72.55160808563232,-825.3020668029785,0,0,-815.6810474395752,bad
240.05931854248047,-41.52698993682861,-1220.2179908752441,503.16234588623047,0.5848503112792969,-803.093204498291,0,0,-746.848955154419,bad
241.26834869384766,-41.059041023254395,-1121.6483116149902,425.77098846435547,94.3008041381836,-682.3904943466187,0,0,-651.5550899505615,bad
241.82090759277344,-79.53689575195312,-892.7296257019043,455.05043029785156,85.08859634399414,-569.0460920333862,0,0,-526.0897636413574,bad
251.69143676757812,-149.25883769989014,-1093.7155723571777,449.03045654296875,53.72983932495117,-618.4647846221924,0,0,-602.9386138916016,bad
229.8932647705078,-200.31925678253174,-1014.8538208007812,488.84307861328125,-128.83551120758057,-642.2028064727783,0,0,-602.001256942749,bad
223.29280853271484,-179.59784030914307,-1388.9680767059326,491.12354278564453,-96.91602230072021,-900.7417488098145,0,0,-863.4893417358398,bad
233.85345458984375,-128.81555557250977,-1451.9829940795898,492.5823974609375,-55.197458267211914,-923.193941116333,0,0,-910.1852703094482,bad
222.2458267211914,-142.3285675048828,-1481.2189865112305,469.94754791259766,-94.66901779174805,-840.2568626403809,0,0,-907.1031761169434,bad
228.71013641357422,-107.49748706817627,-1453.2031631469727,469.4198226928711,-45.90843200683594,-872.7790546417236,0,0,-863.6398887634277,bad
243.90220642089844,-142.2868537902832,-1367.1103477478027,470.43846130371094,-81.4951229095459,-787.5358772277832,0,0,-822.0614433288574,bad
243.2221221923828,-162.78056144714355,-1517.9874801635742,509.5454406738281,-102.14590072631836,-888.3931159973145,0,0,-893.148136138916,bad
278.7876892089844,-171.6406488418579,-1601.865177154541,572.2643280029297,-128.46433639526367,-970.7228565216064,0,0,-969.7939968109131,bad
232.4401092529297,-204.53779220581055,-590.3600835800171,463.44139099121094,13.965082168579102,-213.23222637176514,0,0,-224.52503442764282,bad
219.52392578125,-185.10769844055176,-500.3775930404663,422.08396911621094,65.52653789520264,-158.17288041114807,0,0,-238.1418800354004,bad
225.97003936767578,-231.3081693649292,-881.475419998169,441.48128509521484,50.186662673950195,-466.23998165130615,0,0,-490.7259750366211,bad
171.62967681884766,-274.7832262516022,-651.1481237411499,451.68113708496094,-46.96784019470215,-253.23031425476074,0,0,-252.64930486679077,bad
247.28893280029297,-185.62675952911377,-829.3343925476074,443.9994430541992,145.45636653900146,-406.3168144226074,0,0,-503.1225872039795,bad
136.45462036132812,-270.7741177082062,-600.9099197387695,388.2493209838867,-61.835196018218994,-198.89901638031006,0,0,-232.1972680091858,bad
361.7692565917969,-70.96565008163452,-592.4387741088867,467.24700927734375,163.22683811187744,-160.96032857894897,0,0,-232.6716113090515,bad
339.9818420410156,-136.3530135154724,-1022.909631729126,535.4621124267578,95.57122707366943,-234.2412829399109,0,0,-384.7094535827637,bad
327.87879943847656,-140.18033266067505,-595.0903844833374,523.1049346923828,103.15831661224365,-114.50739741325378,0,0,-144.74639654159546,bad
380.4309844970703,-30.50954818725586,-772.3541450500488,489.91615295410156,166.63440227508545,-270.81440448760986,0,0,-310.84521532058716,bad
396.78157806396484,-60.108819007873535,-721.4562892913818,528.2547378540039,143.4452247619629,-241.10657930374146,0,0,-206.47923946380615,bad
